Date	S&P
7/18/2005	1221.13
7/19/2005	1229.35
7/20/2005	1235.2
7/21/2005	1227.04
7/22/2005	1233.68
7/25/2005	1229.03
7/26/2005	1231.16
7/27/2005	1236.79
7/28/2005	1243.72
7/29/2005	1234.18
8/1/2005	1235.35
8/2/2005	1244.12
8/3/2005	1245.04
8/4/2005	1235.86
8/5/2005	1226.42
8/8/2005	1223.13
8/9/2005	1231.38
8/10/2005	1229.13
8/11/2005	1237.81
8/12/2005	1230.39
8/15/2005	1233.87
8/16/2005	1219.34
8/17/2005	1220.24
8/18/2005	1219.02
8/19/2005	1219.71
8/22/2005	1221.73
8/23/2005	1217.59
8/24/2005	1209.59
8/25/2005	1212.37
8/26/2005	1205.1
8/29/2005	1212.28
8/30/2005	1208.41
8/31/2005	1220.33
9/1/2005	1221.59
9/2/2005	1218.02
9/6/2005	1233.39
9/7/2005	1236.36
9/8/2005	1231.67
9/9/2005	1241.48
9/12/2005	1240.56
9/13/2005	1231.2
9/14/2005	1227.16
9/15/2005	1227.73
9/16/2005	1237.91
9/19/2005	1231.02
9/20/2005	1221.34
9/21/2005	1210.2
9/22/2005	1214.62
9/23/2005	1215.29
9/26/2005	1215.63
9/27/2005	1215.66
9/28/2005	1216.89
9/29/2005	1227.68
9/30/2005	1228.81
10/3/2005	1226.7
10/4/2005	1214.47
10/5/2005	1196.39
10/6/2005	1191.49
10/7/2005	1195.9
10/10/2005	1187.33
10/11/2005	1184.87
10/12/2005	1177.68
10/13/2005	1176.84
10/14/2005	1186.57
10/17/2005	1190.1
10/18/2005	1178.14
10/19/2005	1195.76
10/20/2005	1177.8
10/21/2005	1179.59
10/24/2005	1199.38
10/25/2005	1196.54
10/26/2005	1191.38
10/27/2005	1178.9
10/28/2005	1198.41
10/31/2005	1207.01
11/1/2005	1202.76
11/2/2005	1214.76
11/3/2005	1219.94
11/4/2005	1220.14
11/7/2005	1222.81
11/8/2005	1218.59
11/9/2005	1220.65
11/10/2005	1230.96
11/11/2005	1234.72
11/14/2005	1233.76
11/15/2005	1229.01
11/16/2005	1231.21
11/17/2005	1242.8
11/18/2005	1248.27
11/21/2005	1254.85
11/22/2005	1261.23
11/23/2005	1265.61
11/25/2005	1268.25
11/28/2005	1257.46
11/29/2005	1257.48
11/30/2005	1249.48
12/1/2005	1264.67
12/2/2005	1265.08
12/5/2005	1262.09
12/6/2005	1263.7
12/7/2005	1257.37
12/8/2005	1255.84
12/9/2005	1259.37
12/12/2005	1260.43
12/13/2005	1267.43
12/14/2005	1272.74
12/15/2005	1270.94
12/16/2005	1267.32
12/19/2005	1259.92
12/20/2005	1259.62
12/21/2005	1262.79
12/22/2005	1268.12
12/23/2005	1268.66
12/27/2005	1256.54
12/28/2005	1258.17
12/29/2005	1254.42
12/30/2005	1248.29
1/3/2006	1268.8
1/4/2006	1273.46
1/5/2006	1273.48
1/6/2006	1285.45
1/9/2006	1290.15
1/10/2006	1289.69
1/11/2006	1294.18
1/12/2006	1286.06
1/13/2006	1287.61
1/17/2006	1283.03
1/18/2006	1277.93
1/19/2006	1285.04
1/20/2006	1261.49
1/23/2006	1263.82
1/24/2006	1266.86
1/25/2006	1264.68
1/26/2006	1273.83
1/27/2006	1283.72
1/30/2006	1285.19
1/31/2006	1280.08
2/1/2006	1282.46
2/2/2006	1270.84
2/3/2006	1264.03
2/6/2006	1265.02
2/7/2006	1254.78
2/8/2006	1265.65
2/9/2006	1263.78
2/10/2006	1266.99
2/13/2006	1262.86
2/14/2006	1275.53
2/15/2006	1280
2/16/2006	1289.38
2/17/2006	1287.24
2/21/2006	1283.03
2/22/2006	1292.67
2/23/2006	1287.79
2/24/2006	1289.43
2/27/2006	1294.12
2/28/2006	1280.66
3/1/2006	1291.24
3/2/2006	1289.14
3/3/2006	1287.23
3/6/2006	1278.26
3/7/2006	1275.88
3/8/2006	1278.47
3/9/2006	1272.23
3/10/2006	1281.42
3/13/2006	1284.13
3/14/2006	1297.48
3/15/2006	1303.02
3/16/2006	1305.33
3/17/2006	1307.25
3/20/2006	1305.08
3/21/2006	1297.23
3/22/2006	1305.04
3/23/2006	1301.67
3/24/2006	1302.95
3/27/2006	1301.61
3/28/2006	1293.23
3/29/2006	1302.89
3/30/2006	1300.25
3/31/2006	1294.87
4/3/2006	1297.81
4/4/2006	1305.93
4/5/2006	1311.56
4/6/2006	1309.04
4/7/2006	1295.5
4/10/2006	1296.62
4/11/2006	1286.57
4/12/2006	1288.12
4/13/2006	1289.12
4/17/2006	1285.33
4/18/2006	1307.28
4/19/2006	1309.93
4/20/2006	1311.46
4/21/2006	1311.28
4/24/2006	1308.11
4/25/2006	1301.74
4/26/2006	1305.41
4/27/2006	1309.72
4/28/2006	1310.61
5/1/2006	1305.19
5/2/2006	1313.21
5/3/2006	1308.12
5/4/2006	1312.25
5/5/2006	1325.76
5/8/2006	1324.66
5/9/2006	1325.14
5/10/2006	1322.85
5/11/2006	1305.92
5/12/2006	1291.24
5/15/2006	1294.5
5/16/2006	1292.08
5/17/2006	1270.32
5/18/2006	1261.81
5/19/2006	1267.03
5/22/2006	1262.07
5/23/2006	1256.58
5/24/2006	1258.57
5/25/2006	1272.88
5/26/2006	1280.16
5/30/2006	1259.87
5/31/2006	1270.09
6/1/2006	1285.71
6/2/2006	1288.22
6/5/2006	1265.29
6/6/2006	1263.85
6/7/2006	1256.15
6/8/2006	1257.93
6/9/2006	1252.3
6/12/2006	1237.44
6/13/2006	1223.69
6/14/2006	1230.04
6/15/2006	1256.16
6/16/2006	1251.54
6/19/2006	1240.13
6/20/2006	1240.12
6/21/2006	1252.2
6/22/2006	1245.6
6/23/2006	1244.5
6/26/2006	1250.56
6/27/2006	1239.2
6/28/2006	1246
6/29/2006	1272.87
